[INFO ] 2015-01-20 11:59:28,598 [MSC service thread 1-3] Logback logging API implementation is configured.
[INFO ] 2015-01-20 11:59:41,355 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-20 11:59:41,700 [default task-10] Request for query 3392903 is finished
[INFO ] 2015-01-20 11:59:47,412 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-20 11:59:47,435 [default task-16] Request for query 3392903 is finished
[INFO ] 2015-01-20 11:59:47,559 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 11:59:47,710 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-20 11:59:50,485 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 11:59:50,491 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 11:59:50,708 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-20 12:04:17,044 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 12:04:17,045 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 12:04:17,070 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-20 12:04:17,111 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-20 12:04:17,198 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 12:04:17,200 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 12:04:17,208 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-20 12:04:17,209 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-20 13:11:04,873 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:11:04,878 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:11:04,883 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-20 13:11:04,890 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-20 13:11:05,021 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:11:05,022 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:11:05,032 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-20 13:11:05,034 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-20 13:11:14,777 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:11:14,778 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:11:14,783 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-20 13:11:14,785 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-20 13:11:14,873 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:11:14,875 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:11:14,882 [repositories/fiteagle] POST query 466162361
[INFO ] 2015-01-20 13:11:14,883 [repositories/fiteagle] Request for query 466162361 is finished
[INFO ] 2015-01-20 13:13:51,755 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:13:51,770 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:13:51,774 [repositories/fiteagle] POST query 1954702913
[INFO ] 2015-01-20 13:13:51,777 [repositories/fiteagle] Request for query 1954702913 is finished
[INFO ] 2015-01-20 13:13:51,949 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:13:51,958 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:13:51,962 [repositories/fiteagle] POST query 1954702913
[INFO ] 2015-01-20 13:13:51,967 [repositories/fiteagle] Request for query 1954702913 is finished
[INFO ] 2015-01-20 13:13:59,057 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:13:59,060 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:13:59,063 [repositories/fiteagle] POST query 1954702913
[INFO ] 2015-01-20 13:13:59,066 [repositories/fiteagle] Request for query 1954702913 is finished
[INFO ] 2015-01-20 13:13:59,168 [repositories/fiteagle] GET namespace list
[INFO ] 2015-01-20 13:13:59,172 [repositories/fiteagle] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:13:59,176 [repositories/fiteagle] POST query 1954702913
[INFO ] 2015-01-20 13:13:59,179 [repositories/fiteagle] Request for query 1954702913 is finished
[INFO ] 2015-01-20 13:17:37,705 [default task-63] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:17:37,869 [repositories/SYSTEM] GET statements
[INFO ] 2015-01-20 13:17:39,678 [default task-5] Request for query 3392903 is finished
[INFO ] 2015-01-20 13:17:39,859 [repositories/SYSTEM] GET statements
